pclass,age,sibsp,parch,fare,sex,embarked,class,who,adult_male,deck,embark_town,alone,alive
3,9,2,2,34.375,female,S,Third,child,FALSE,,Southampton,FALSE,no
2,36.5,0,2,26,male,S,Second,man,TRUE,F,Southampton,FALSE,no
2,42,0,0,13,male,S,Second,man,TRUE,,Southampton,TRUE,no
2,51,0,0,12.525,male,S,Second,man,TRUE,,Southampton,TRUE,no
1,22,1,0,66.6,female,S,First,woman,FALSE,C,Southampton,FALSE,yes
3,55.5,0,0,8.05,male,S,Third,man,TRUE,,Southampton,TRUE,no
3,40.5,0,2,14.5,male,S,Third,man,TRUE,,Southampton,FALSE,no
3,,0,0,7.3125,male,S,Third,man,TRUE,,Southampton,TRUE,no
1,51,0,1,61.3792,male,C,First,man,TRUE,,Cherbourg,FALSE,no
3,16,0,0,7.7333,female,Q,Third,woman,FALSE,,Queenstown,TRUE,yes
3,30,0,0,8.05,male,S,Third,man,TRUE,,Southampton,TRUE,no
3,,0,0,8.6625,male,S,Third,man,TRUE,,Southampton,TRUE,no
3,,8,2,69.55,male,S,Third,man,TRUE,,Southampton,FALSE,no
3,44,0,1,16.1,male,S,Third,man,TRUE,,Southampton,FALSE,no
2,40,0,0,15.75,female,S,Second,woman,FALSE,,Southampton,TRUE,yes
3,26,0,0,7.775,male,S,Third,man,TRUE,,Southampton,TRUE,no
3,17,0,0,8.6625,male,S,Third,man,TRUE,,Southampton,TRUE,no
3,1,4,1,39.6875,male,S,Third,child,FALSE,,Southampton,FALSE,no
3,9,0,2,20.525,male,S,Third,child,FALSE,,Southampton,FALSE,yes
1,,0,1,55,female,S,First,woman,FALSE,E,Southampton,FALSE,yes
3,45,1,4,27.9,female,S,Third,woman,FALSE,,Southampton,FALSE,no
1,,0,0,25.925,male,S,First,man,TRUE,,Southampton,TRUE,no
3,28,0,0,56.4958,male,S,Third,man,TRUE,,Southampton,TRUE,no
1,61,0,0,33.5,male,S,First,man,TRUE,B,Southampton,TRUE,no
3,4,4,1,29.125,male,Q,Third,child,FALSE,,Queenstown,FALSE,no
3,1,1,1,11.1333,female,S,Third,child,FALSE,,Southampton,FALSE,yes
3,21,0,0,7.925,male,S,Third,man,TRUE,,Southampton,TRUE,no
1,56,0,0,30.6958,male,C,First,man,TRUE,A,Cherbourg,TRUE,no
3,18,1,1,7.8542,male,S,Third,man,TRUE,,Southampton,FALSE,no
3,,3,1,25.4667,male,S,Third,man,TRUE,,Southampton,FALSE,no
1,50,0,0,28.7125,female,C,First,woman,FALSE,C,Cherbourg,TRUE,no
2,30,0,0,13,male,S,Second,man,TRUE,,Southampton,TRUE,no
3,36,0,0,0,male,S,Third,man,TRUE,,Southampton,TRUE,no
3,,8,2,69.55,female,S,Third,woman,FALSE,,Southampton,FALSE,no
2,,0,0,15.05,male,C,Second,man,TRUE,,Cherbourg,TRUE,no
3,9,4,2,31.3875,male,S,Third,child,FALSE,,Southampton,FALSE,no
2,1,2,1,39,male,S,Second,child,FALSE,F,Southampton,FALSE,yes
3,4,0,2,22.025,female,S,Third,child,FALSE,,Southampton,FALSE,yes
1,,0,0,50,male,S,First,man,TRUE,A,Southampton,TRUE,no
3,,1,0,15.5,female,Q,Third,woman,FALSE,,Queenstown,FALSE,yes
1,45,0,0,26.55,male,S,First,man,TRUE,,Southampton,TRUE,yes
3,40,1,1,15.5,male,Q,Third,man,TRUE,,Queenstown,FALSE,no
3,36,0,0,7.8958,male,S,Third,man,TRUE,,Southampton,TRUE,no
2,32,0,0,13,female,S,Second,woman,FALSE,,Southampton,TRUE,yes
2,19,0,0,13,male,S,Second,man,TRUE,,Southampton,TRUE,no
3,19,1,0,7.8542,female,S,Third,woman,FALSE,,Southampton,FALSE,yes
2,3,1,1,26,male,S,Second,child,FALSE,F,Southampton,FALSE,yes
1,44,0,0,27.7208,female,C,First,woman,FALSE,B,Cherbourg,TRUE,yes
1,58,0,0,146.5208,female,C,First,woman,FALSE,B,Cherbourg,TRUE,yes
3,,0,0,7.75,male,Q,Third,man,TRUE,,Queenstown,TRUE,no
3,42,0,1,8.4042,male,S,Third,man,TRUE,,Southampton,FALSE,no
3,,0,0,7.75,female,Q,Third,woman,FALSE,,Queenstown,TRUE,yes
2,24,0,0,13,female,S,Second,woman,FALSE,,Southampton,TRUE,no
3,28,0,0,9.5,male,S,Third,man,TRUE,,Southampton,TRUE,no
3,,8,2,69.55,male,S,Third,man,TRUE,,Southampton,FALSE,no
3,34,0,0,6.4958,male,S,Third,man,TRUE,,Southampton,TRUE,no
3,45.5,0,0,7.225,male,C,Third,man,TRUE,,Cherbourg,TRUE,no
3,18,0,0,8.05,male,S,Third,man,TRUE,,Southampton,TRUE,yes
3,2,0,1,10.4625,female,S,Third,child,FALSE,G,Southampton,FALSE,no
3,32,1,0,15.85,male,S,Third,man,TRUE,,Southampton,FALSE,no
3,26,0,0,18.7875,male,C,Third,man,TRUE,,Cherbourg,TRUE,yes
3,16,0,0,7.75,female,Q,Third,woman,FALSE,,Queenstown,TRUE,yes
1,40,0,0,31,male,C,First,man,TRUE,A,Cherbourg,TRUE,yes
3,24,0,0,7.05,male,S,Third,man,TRUE,,Southampton,TRUE,no
2,35,0,0,21,female,S,Second,woman,FALSE,,Southampton,TRUE,yes
3,22,0,0,7.25,male,S,Third,man,TRUE,,Southampton,TRUE,no
2,30,0,0,13,male,S,Second,man,TRUE,,Southampton,TRUE,no
3,,1,0,7.75,male,Q,Third,man,TRUE,,Queenstown,FALSE,no
1,31,1,0,113.275,female,C,First,woman,FALSE,D,Cherbourg,FALSE,yes
3,27,0,0,7.925,female,S,Third,woman,FALSE,,Southampton,TRUE,yes
2,42,1,0,27,male,S,Second,man,TRUE,,Southampton,FALSE,no
1,32,0,0,76.2917,female,C,First,woman,FALSE,D,Cherbourg,TRUE,yes
2,30,0,0,10.5,male,S,Second,man,TRUE,,Southampton,TRUE,no
3,16,0,0,8.05,male,S,Third,man,TRUE,,Southampton,TRUE,yes
2,27,0,0,13,male,S,Second,man,TRUE,,Southampton,TRUE,no
3,51,0,0,8.05,male,S,Third,man,TRUE,,Southampton,TRUE,no
3,,0,0,7.8958,male,S,Third,man,TRUE,,Southampton,TRUE,no
1,38,1,0,90,male,S,First,man,TRUE,C,Southampton,FALSE,yes
3,22,0,0,9.35,male,S,Third,man,TRUE,,Southampton,TRUE,no
2,19,0,0,10.5,male,S,Second,man,TRUE,,Southampton,TRUE,yes
3,20.5,0,0,7.25,male,S,Third,man,TRUE,,Southampton,TRUE,no
2,18,0,0,13,male,S,Second,man,TRUE,,Southampton,TRUE,no
3,,3,1,25.4667,female,S,Third,woman,FALSE,,Southampton,FALSE,no
1,35,1,0,83.475,female,S,First,woman,FALSE,C,Southampton,FALSE,yes
3,29,0,0,7.775,male,S,Third,man,TRUE,,Southampton,TRUE,no
2,59,0,0,13.5,male,S,Second,man,TRUE,,Southampton,TRUE,no
3,5,4,2,31.3875,female,S,Third,child,FALSE,,Southampton,FALSE,yes
2,24,0,0,10.5,male,S,Second,man,TRUE,,Southampton,TRUE,no
3,,0,0,7.55,female,S,Third,woman,FALSE,,Southampton,TRUE,no
2,44,1,0,26,male,S,Second,man,TRUE,,Southampton,FALSE,no
2,8,0,2,26.25,female,S,Second,child,FALSE,,Southampton,FALSE,yes
2,19,0,0,10.5,male,S,Second,man,TRUE,,Southampton,TRUE,no
2,33,0,0,12.275,male,S,Second,man,TRUE,,Southampton,TRUE,no
3,,1,0,14.4542,female,C,Third,woman,FALSE,,Cherbourg,FALSE,no
3,,1,0,15.5,female,Q,Third,woman,FALSE,,Queenstown,FALSE,yes
2,29,0,0,10.5,male,S,Second,man,TRUE,,Southampton,TRUE,no
3,22,0,0,7.125,male,S,Third,man,TRUE,,Southampton,TRUE,no
3,30,0,0,7.225,male,C,Third,man,TRUE,,Cherbourg,TRUE,no
1,44,2,0,90,male,Q,First,man,TRUE,C,Queenstown,FALSE,no
3,25,0,0,7.775,female,S,Third,woman,FALSE,,Southampton,TRUE,no
2,24,0,2,14.5,female,S,Second,woman,FALSE,,Southampton,FALSE,yes
1,37,1,1,52.5542,male,S,First,man,TRUE,D,Southampton,FALSE,yes
2,54,1,0,26,male,S,Second,man,TRUE,,Southampton,FALSE,no
3,,0,0,7.25,male,S,Third,man,TRUE,,Southampton,TRUE,no
3,29,1,1,10.4625,female,S,Third,woman,FALSE,G,Southampton,FALSE,no
1,62,0,0,26.55,male,S,First,man,TRUE,C,Southampton,TRUE,no
3,30,1,0,16.1,male,S,Third,man,TRUE,,Southampton,FALSE,no
3,41,0,2,20.2125,female,S,Third,woman,FALSE,,Southampton,FALSE,no
3,29,0,2,15.2458,female,C,Third,woman,FALSE,,Cherbourg,FALSE,yes
1,,0,0,79.2,female,C,First,woman,FALSE,,Cherbourg,TRUE,yes
1,30,0,0,86.5,female,S,First,woman,FALSE,B,Southampton,TRUE,yes
1,35,0,0,512.3292,female,C,First,woman,FALSE,,Cherbourg,TRUE,yes
2,50,0,1,26,female,S,Second,woman,FALSE,,Southampton,FALSE,yes
3,,0,0,7.75,male,Q,Third,man,TRUE,,Queenstown,TRUE,no
3,3,4,2,31.3875,male,S,Third,child,FALSE,,Southampton,FALSE,yes
1,52,1,1,79.65,male,S,First,man,TRUE,E,Southampton,FALSE,no
1,40,0,0,0,male,S,First,man,TRUE,B,Southampton,TRUE,no
3,,0,0,7.75,female,Q,Third,woman,FALSE,,Queenstown,TRUE,no
2,36,0,0,10.5,male,S,Second,man,TRUE,,Southampton,TRUE,no
3,16,4,1,39.6875,male,S,Third,man,TRUE,,Southampton,FALSE,no
3,25,1,0,7.775,male,S,Third,man,TRUE,,Southampton,FALSE,yes
1,58,0,1,153.4625,female,S,First,woman,FALSE,C,Southampton,FALSE,yes
1,35,0,0,135.6333,female,S,First,woman,FALSE,C,Southampton,TRUE,yes
1,,0,0,31,male,S,First,man,TRUE,,Southampton,TRUE,no
3,25,0,0,0,male,S,Third,man,TRUE,,Southampton,TRUE,yes
2,41,0,1,19.5,female,S,Second,woman,FALSE,,Southampton,FALSE,yes
1,37,0,1,29.7,male,C,First,man,TRUE,C,Cherbourg,FALSE,no
3,,0,0,7.75,female,Q,Third,woman,FALSE,,Queenstown,TRUE,yes
1,63,1,0,77.9583,female,S,First,woman,FALSE,D,Southampton,FALSE,yes
3,45,0,0,7.75,female,S,Third,woman,FALSE,,Southampton,TRUE,no
2,,0,0,0,male,S,Second,man,TRUE,,Southampton,TRUE,no
3,7,4,1,29.125,male,Q,Third,child,FALSE,,Queenstown,FALSE,no
3,35,1,1,20.25,female,S,Third,woman,FALSE,,Southampton,FALSE,yes
3,65,0,0,7.75,male,Q,Third,man,TRUE,,Queenstown,TRUE,no
3,28,0,0,7.8542,male,S,Third,man,TRUE,,Southampton,TRUE,no
3,16,0,0,9.5,male,S,Third,man,TRUE,,Southampton,TRUE,no
3,19,0,0,8.05,male,S,Third,man,TRUE,,Southampton,TRUE,yes
1,,0,0,26,male,S,First,man,TRUE,A,Southampton,TRUE,no
3,33,0,0,8.6625,male,C,Third,man,TRUE,,Cherbourg,TRUE,no
3,30,0,0,9.5,male,S,Third,man,TRUE,,Southampton,TRUE,yes
3,22,0,0,7.8958,male,S,Third,man,TRUE,,Southampton,TRUE,no
2,42,0,0,13,male,S,Second,man,TRUE,,Southampton,TRUE,yes
3,22,0,0,7.75,female,Q,Third,woman,FALSE,,Queenstown,TRUE,yes
1,26,0,0,78.85,female,S,First,woman,FALSE,,Southampton,TRUE,yes
1,19,1,0,91.0792,female,C,First,woman,FALSE,B,Cherbourg,FALSE,yes
2,36,0,0,12.875,male,C,Second,man,TRUE,D,Cherbourg,TRUE,no
3,24,0,0,8.85,female,S,Third,woman,FALSE,,Southampton,TRUE,no
3,24,0,0,7.8958,male,S,Third,man,TRUE,,Southampton,TRUE,no
1,,0,0,27.7208,male,C,First,man,TRUE,,Cherbourg,TRUE,no
3,23.5,0,0,7.2292,male,C,Third,man,TRUE,,Cherbourg,TRUE,no
1,2,1,2,151.55,female,S,First,child,FALSE,C,Southampton,FALSE,no
1,,0,0,30.5,male,S,First,man,TRUE,C,Southampton,TRUE,yes
1,50,0,1,247.5208,female,C,First,woman,FALSE,B,Cherbourg,FALSE,yes
3,,0,0,7.75,female,Q,Third,woman,FALSE,,Queenstown,TRUE,yes
3,,2,0,23.25,male,Q,Third,man,TRUE,,Queenstown,FALSE,yes
3,19,0,0,0,male,S,Third,man,TRUE,,Southampton,TRUE,no
2,,0,0,12.35,female,Q,Second,woman,FALSE,E,Queenstown,TRUE,yes
3,,0,0,8.05,male,S,Third,man,TRUE,,Southampton,TRUE,no
1,0.92,1,2,151.55,male,S,First,child,FALSE,C,Southampton,FALSE,yes
1,,0,0,110.8833,female,C,First,woman,FALSE,,Cherbourg,TRUE,yes
1,17,1,0,108.9,female,C,First,woman,FALSE,C,Cherbourg,FALSE,yes
2,30,1,0,24,male,C,Second,man,TRUE,,Cherbourg,FALSE,no
1,30,0,0,56.9292,female,C,First,woman,FALSE,E,Cherbourg,TRUE,yes
1,24,0,0,83.1583,female,C,First,woman,FALSE,C,Cherbourg,TRUE,yes
1,18,2,2,262.375,female,C,First,woman,FALSE,B,Cherbourg,FALSE,yes
2,26,1,1,26,female,S,Second,woman,FALSE,,Southampton,FALSE,no
3,28,0,0,7.8958,male,S,Third,man,TRUE,,Southampton,TRUE,no
2,43,1,1,26.25,male,S,Second,man,TRUE,,Southampton,FALSE,no
3,26,0,0,7.8542,female,S,Third,woman,FALSE,,Southampton,TRUE,yes
2,24,1,0,26,female,S,Second,woman,FALSE,,Southampton,FALSE,yes
2,54,0,0,14,male,S,Second,man,TRUE,,Southampton,TRUE,no
1,31,0,2,164.8667,female,S,First,woman,FALSE,C,Southampton,FALSE,yes
1,40,1,1,134.5,female,C,First,woman,FALSE,E,Cherbourg,FALSE,yes
3,22,0,0,7.25,male,S,Third,man,TRUE,,Southampton,TRUE,no
3,27,0,0,7.8958,male,S,Third,man,TRUE,,Southampton,TRUE,no
2,30,0,0,12.35,female,Q,Second,woman,FALSE,,Queenstown,TRUE,yes
2,22,1,1,29,female,S,Second,woman,FALSE,,Southampton,FALSE,yes
3,,8,2,69.55,male,S,Third,man,TRUE,,Southampton,FALSE,no
1,36,0,0,135.6333,female,C,First,woman,FALSE,C,Cherbourg,TRUE,yes
3,61,0,0,6.2375,male,S,Third,man,TRUE,,Southampton,TRUE,no
2,36,0,0,13,female,S,Second,woman,FALSE,D,Southampton,TRUE,yes
3,31,1,1,20.525,female,S,Third,woman,FALSE,,Southampton,FALSE,yes
1,16,0,1,57.9792,female,C,First,woman,FALSE,B,Cherbourg,FALSE,yes
3,,2,0,23.25,female,Q,Third,woman,FALSE,,Queenstown,FALSE,yes
1,45.5,0,0,28.5,male,S,First,man,TRUE,C,Southampton,TRUE,no
1,38,0,1,153.4625,male,S,First,man,TRUE,C,Southampton,FALSE,no
3,16,2,0,18,male,S,Third,man,TRUE,,Southampton,FALSE,no
1,,1,0,133.65,female,S,First,woman,FALSE,,Southampton,FALSE,yes
3,,0,0,7.8958,male,S,Third,man,TRUE,,Southampton,TRUE,no
1,29,1,0,66.6,male,S,First,man,TRUE,C,Southampton,FALSE,no
1,41,0,0,134.5,female,C,First,woman,FALSE,E,Cherbourg,TRUE,yes
3,45,0,0,8.05,male,S,Third,man,TRUE,,Southampton,TRUE,yes
1,45,0,0,35.5,male,S,First,man,TRUE,,Southampton,TRUE,no
2,2,1,1,26,male,S,Second,child,FALSE,F,Southampton,FALSE,yes
1,24,3,2,263,female,S,First,woman,FALSE,C,Southampton,FALSE,yes
2,28,0,0,13,male,S,Second,man,TRUE,,Southampton,TRUE,no
2,25,0,0,13,male,S,Second,man,TRUE,,Southampton,TRUE,no
2,36,0,0,13,male,S,Second,man,TRUE,,Southampton,TRUE,no
2,24,0,0,13,female,S,Second,woman,FALSE,F,Southampton,TRUE,yes
